Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Holiday/Promotion,Competitor Pricing,Seasonality,Retail Rent Index
2/1/2017,W005,PST718,Stationery & Office Supplies,East,895,659,527,796.76,15.71,10,0,15.46,Autumn,126.3211
2/1/2017,W005,PTO983,Toys & Games,South,670,394,314,392.01,48.87,20,0,49,Summer,123.0289
2/1/2017,W005,PSE958,Seasonal Products,West,862,536,363,448.38,41.52,0,0,37.44,Summer,124.1147
3/1/2017,W001,PHO770,Household Essentials,South,1059,768,481,910.33,9.91,20,0,8.83,Summer,127.547
3/1/2017,W001,PHO516,Homeware,East,1094,685,535,552.28,33.76,0,0,30.12,Summer,120.5782
3/1/2017,W001,PDI616,DIY & Decorating,South,685,364,348,323.05,37.68,0,0,32.03,Summer,125.3999
3/1/2017,W001,PGA915,Gardening,Central,872,487,460,397.23,11.69,0,0,10.7,Summer,124.8182
3/1/2017,W001,PPE784,Pet Supplies,Central,640,406,289,489.11,21.64,0,0,21.85,Spring,125.9949
3/1/2017,W001,PHE467,Health & Beauty,South,800,441,361,369.57,14.17,0,0,14.22,Summer,126.7244
3/1/2017,W001,PST156,Stationery & Office Supplies,North,441,296,210,324.95,13.2,10,0,13.78,Spring,125.3346
3/1/2017,W001,PTO751,Toys & Games,Central,558,360,316,315.28,37.27,0,1,34.72,Autumn,124.8406
3/1/2017,W001,PSE737,Seasonal Products,East,828,420,342,425.41,10.83,20,0,10.2,Spring,126.1567
3/1/2017,W002,PHO960,Household Essentials,South,978,540,575,645.17,32.48,0,1,27.62,Summer,128.9781
3/1/2017,W002,PHO954,Homeware,Central,1160,635,554,570.68,31.96,10,1,29.48,Summer,121.8707
3/1/2017,W002,PDI361,DIY & Decorating,North,818,463,387,446.51,20.29,10,1,18.89,Spring,124.1644
3/1/2017,W002,PGA662,Gardening,West,544,288,318,341.66,18.88,20,0,16.98,Autumn,124.1434
3/1/2017,W002,PPE842,Pet Supplies,Central,727,489,432,597.77,9.43,20,0,8.51,Winter,123.4506
3/1/2017,W002,PHE372,Health & Beauty,West,679,391,381,323.41,5.25,0,0,4.82,Winter,124.2858
3/1/2017,W002,PST337,Stationery & Office Supplies,South,426,331,194,255.43,32.92,10,0,28.35,Spring,122.4987
3/1/2017,W002,PTO493,Toys & Games,North,837,645,398,653.18,5.14,20,1,4.69,Winter,121.9681
3/1/2017,W002,PSE144,Seasonal Products,East,416,328,208,322.94,45.54,0,1,44.14,Summer,123.1558
3/1/2017,W003,PHO827,Household Essentials,South,1210,731,529,552.7,12.83,10,0,12.98,Spring,126.9035
3/1/2017,W003,PHO642,Homeware,West,995,589,407,494.98,32.36,10,0,27.6,Summer,126.8617
3/1/2017,W003,PDI216,DIY & Decorating,East,742,407,373,494.48,45.05,20,0,46.58,Winter,121.2175
3/1/2017,W003,PGA290,Gardening,Central,852,669,381,545.05,10.64,10,1,10.76,Winter,125.5373
3/1/2017,W003,PPE296,Pet Supplies,Central,589,328,336,298.39,18,10,0,16.48,Winter,123.0377
3/1/2017,W003,PHE179,Health & Beauty,East,443,254,228,280.03,41.58,20,0,38.24,Spring,125.8801
3/1/2017,W003,PST644,Stationery & Office Supplies,Central,877,685,448,515.66,44.18,10,0,40.07,Winter,128.6043
3/1/2017,W003,PTO739,Toys & Games,East,585,375,313,350.41,12.81,10,0,12.05,Autumn,123.4741
3/1/2017,W003,PSE833,Seasonal Products,East,591,467,328,419.87,6.91,10,0,6.86,Spring,123.1469
3/1/2017,W004,PHO475,Household Essentials,East,1084,794,550,901.4,26.39,0,1,24.07,Winter,121.8812
3/1/2017,W004,PHO643,Homeware,North,1076,558,538,675.1,32.34,10,1,30.69,Winter,124.1559
3/1/2017,W004,PDI908,DIY & Decorating,East,874,601,432,750.81,22.46,0,0,23.39,Autumn,125.0827
3/1/2017,W004,PGA317,Gardening,East,826,466,349,476.62,43.8,20,1,43.23,Winter,127.0055
3/1/2017,W004,PPE728,Pet Supplies,North,583,326,333,406.25,36.41,0,0,37.91,Summer,123.1823
3/1/2017,W004,PHE448,Health & Beauty,Central,787,544,420,635.42,37.87,0,1,34.61,Winter,127.014
3/1/2017,W004,PST379,Stationery & Office Supplies,Central,679,462,275,462.3,32.19,20,0,32.08,Summer,123.3121
3/1/2017,W004,PTO416,Toys & Games,East,748,592,440,704.3,49.59,20,0,45.88,Spring,122.8516
3/1/2017,W004,PSE693,Seasonal Products,South,879,592,383,480.6,48.81,10,1,50.21,Winter,123.1669
3/1/2017,W005,PHO357,Household Essentials,South,959,699,390,767.1,24.57,20,0,23.05,Autumn,125.5609
3/1/2017,W005,PHO732,Homeware,North,1091,783,540,881.39,26.03,10,0,22.22,Summer,125.8286
3/1/2017,W005,PDI352,DIY & Decorating,West,791,499,378,469.97,14.84,0,0,12.89,Spring,120.8839
3/1/2017,W005,PGA635,Gardening,East,520,391,303,453.56,31.51,10,1,32.21,Autumn,123.089
3/1/2017,W005,PPE228,Pet Supplies,West,410,223,210,178.7,14.09,0,0,12.64,Spring,127.5707
3/1/2017,W005,PHE478,Health & Beauty,East,897,506,426,455.99,42.12,20,1,41.61,Summer,122.9409
3/1/2017,W005,PST574,Stationery & Office Supplies,West,594,423,299,333.87,5.02,0,1,4.29,Autumn,122.2058
3/1/2017,W005,PTO461,Toys & Games,East,699,358,383,444.09,40.03,0,1,40.92,Summer,124.9407
3/1/2017,W005,PSE876,Seasonal Products,West,405,323,221,348.41,33.79,20,1,34.88,Summer,129.5423
4/1/2017,W001,PHO204,Household Essentials,East,1151,610,597,671.08,13.8,20,1,13.59,Summer,125.7499
4/1/2017,W001,PHO420,Homeware,North,1207,874,565,988.44,26.83,20,0,26.23,Winter,123.557
4/1/2017,W001,PDI900,DIY & Decorating,Central,797,447,458,360.61,30.34,10,1,30.73,Autumn,121.856
4/1/2017,W001,PGA184,Gardening,East,813,610,412,703.79,43.4,0,0,40.73,Autumn,122.6424
4/1/2017,W001,PPE304,Pet Supplies,West,474,364,203,379.4,40.27,20,0,36.43,Spring,122.2769
4/1/2017,W001,PHE817,Health & Beauty,West,730,456,432,475.03,11.23,20,1,10.77,Spring,124.7521
4/1/2017,W001,PST765,Stationery & Office Supplies,East,527,335,285,352.3,43.46,20,0,40.33,Spring,123.1438
4/1/2017,W001,PTO896,Toys & Games,East,790,469,393,476.7,43.08,0,1,41.29,Spring,125.2526
4/1/2017,W001,PSE209,Seasonal Products,West,729,566,383,606.35,40.31,10,1,35.19,Autumn,125.6972
4/1/2017,W002,PHO176,Household Essentials,East,994,730,556,640.92,5.19,10,0,4.85,Summer,124.2629
4/1/2017,W002,PHO866,Homeware,Central,1181,867,639,766.99,9.38,10,1,7.97,Summer,125.5097
4/1/2017,W002,PDI861,DIY & Decorating,West,836,454,346,343.12,48,0,0,43.68,Spring,124.877
4/1/2017,W002,PGA702,Gardening,East,562,388,331,427.53,40.08,0,1,36.52,Spring,122.2217
4/1/2017,W002,PPE969,Pet Supplies,Central,724,484,299,539.76,35.87,0,1,35.08,Spring,124.0529
4/1/2017,W002,PHE758,Health & Beauty,West,684,536,403,661.63,18.61,20,1,16.53,Spring,128.1145
4/1/2017,W002,PST483,Stationery & Office Supplies,Central,868,457,501,343.35,28.49,0,0,26.13,Summer,124.9002
4/1/2017,W002,PTO117,Toys & Games,West,602,381,261,467.65,16.98,0,0,17.14,Spring,124.2904
4/1/2017,W002,PSE747,Seasonal Products,West,761,570,334,534.12,36.21,0,0,37.62,Spring,121.9713
4/1/2017,W003,PHO862,Household Essentials,West,1005,654,556,804.99,17.04,0,0,14.9,Spring,124.2148
4/1/2017,W003,PHO638,Homeware,East,1139,759,622,741.29,28.59,20,1,28.28,Winter,126.2406
4/1/2017,W003,PDI777,DIY & Decorating,Central,836,633,475,598.76,25.12,20,0,21.95,Autumn,124.6473
4/1/2017,W003,PGA643,Gardening,Central,565,333,270,301.19,20.54,0,0,20.71,Summer,124.5593
4/1/2017,W003,PPE548,Pet Supplies,West,720,436,311,514.65,22.37,20,0,23.41,Autumn,122.2403
4/1/2017,W003,PHE901,Health & Beauty,Central,843,592,342,716.57,31.74,0,0,29.22,Winter,123.6232
4/1/2017,W003,PST590,Stationery & Office Supplies,East,484,279,230,285.65,49.76,0,0,44.37,Winter,121.7956
4/1/2017,W003,PTO635,Toys & Games,Central,444,313,236,321,18.98,0,1,17.57,Winter,128.2772
4/1/2017,W003,PSE617,Seasonal Products,West,707,550,314,609.81,32.42,0,1,32.32,Winter,124.8786
4/1/2017,W004,PHO164,Household Essentials,West,1136,630,617,645.9,30.07,20,1,30.09,Autumn,122.8286
4/1/2017,W004,PHO806,Homeware,South,922,505,478,441.66,12.59,20,0,12.11,Winter,125.4735
4/1/2017,W004,PDI696,DIY & Decorating,North,817,607,355,723.15,10.47,0,0,9.25,Winter,126.3553
4/1/2017,W004,PGA820,Gardening,North,720,430,384,502.49,11.92,10,0,10.94,Autumn,126.3754
4/1/2017,W004,PPE916,Pet Supplies,South,765,531,420,577.94,46.61,0,0,40.98,Winter,126.3559
4/1/2017,W004,PHE581,Health & Beauty,North,658,517,280,600.54,42.11,0,0,39.07,Summer,124.4227
4/1/2017,W004,PST284,Stationery & Office Supplies,West,475,319,283,303.41,18.8,0,0,16.55,Winter,127.5231
4/1/2017,W004,PTO386,Toys & Games,East,706,477,299,408.74,37.27,0,0,34.01,Winter,126.4233
4/1/2017,W004,PSE325,Seasonal Products,West,629,376,306,297.84,15.49,0,0,13.47,Summer,123.5443
4/1/2017,W005,PHO545,Household Essentials,East,1044,779,423,607.46,37.07,0,1,32.93,Summer,126.1096
4/1/2017,W005,PHO578,Homeware,Central,1109,752,525,629.25,34.39,0,0,30.56,Autumn,120.9323
4/1/2017,W005,PDI797,DIY & Decorating,South,891,447,416,530.29,47.84,0,0,46.03,Summer,122.0465
4/1/2017,W005,PGA249,Gardening,South,511,292,256,318.42,25.7,0,0,22.27,Spring,127.9358
4/1/2017,W005,PPE516,Pet Supplies,North,492,255,278,263.84,7.49,0,0,7.04,Winter,126.7457
4/1/2017,W005,PHE383,Health & Beauty,West,456,288,271,311,20.99,20,1,18.45,Spring,123.0653
4/1/2017,W005,PST307,Stationery & Office Supplies,East,512,354,247,420.27,29.94,10,0,29.94,Autumn,124.0291
4/1/2017,W005,PTO403,Toys & Games,South,681,364,386,310.02,49.37,10,0,51.01,Spring,127.1622
4/1/2017,W005,PSE518,Seasonal Products,Central,726,542,365,489.7,9.13,20,0,8.35,Summer,122.8107
5/1/2017,W001,PHO855,Household Essentials,South,917,525,405,586.8,41.84,0,0,38.3,Autumn,121.4515
5/1/2017,W001,PHO286,Homeware,Central,907,473,526,411.62,41.86,10,0,41.11,Autumn,124.2209
5/1/2017,W001,PDI688,DIY & Decorating,North,622,452,307,362.8,16.02,20,0,15.79,Winter,124.335
5/1/2017,W001,PGA563,Gardening,East,724,538,390,419.05,27.5,0,0,28.82,Autumn,121.899
5/1/2017,W001,PPE250,Pet Supplies,Central,857,556,502,476.14,21.39,0,0,19.59,Winter,129.3159
5/1/2017,W001,PHE420,Health & Beauty,West,459,287,263,351.35,22.1,0,0,21.18,Autumn,124.8463
5/1/2017,W001,PST889,Stationery & Office Supplies,West,414,214,196,214.66,39.44,10,0,37.48,Winter,122.0296
5/1/2017,W001,PTO905,Toys & Games,South,772,456,388,512.24,30.14,20,0,28.14,Summer,128.7987
5/1/2017,W001,PSE676,Seasonal Products,East,813,536,379,480.05,31.83,10,0,29.9,Summer,125.2016
5/1/2017,W002,PHO606,Household Essentials,West,1125,896,671,945.23,35.78,0,1,34.84,Spring,124.8243
5/1/2017,W002,PHO250,Homeware,East,928,577,469,680.93,7.14,10,1,7.16,Winter,124.8033
5/1/2017,W002,PDI741,DIY & Decorating,South,475,377,206,366.51,18.89,0,1,17.69,Autumn,126.6285
5/1/2017,W002,PGA400,Gardening,North,639,359,332,364.92,30.81,20,0,30.64,Autumn,122.1638
5/1/2017,W002,PPE548,Pet Supplies,East,711,556,352,450.8,35.63,0,1,31.2,Winter,122.7256
5/1/2017,W002,PHE969,Health & Beauty,West,853,546,418,651.48,29.25,0,0,29.02,Summer,126.2136
5/1/2017,W002,PST739,Stationery & Office Supplies,Central,661,416,358,377.92,37.15,0,1,35.67,Spring,125.3676
5/1/2017,W002,PTO830,Toys & Games,Central,788,571,320,486.9,6.58,0,0,5.84,Spring,121.4061
5/1/2017,W002,PSE735,Seasonal Products,East,768,532,369,407.55,34.29,0,0,31.83,Winter,124.2619
5/1/2017,W003,PHO519,Household Essentials,South,1177,873,658,958.15,29.38,20,0,28.21,Winter,123.0257
5/1/2017,W003,PHO718,Homeware,Central,940,547,377,628.9,24.08,0,0,23.56,Autumn,126.3504
5/1/2017,W003,PDI763,DIY & Decorating,North,565,352,261,356.43,7.92,0,1,8.08,Autumn,121.4467
5/1/2017,W003,PGA438,Gardening,South,835,428,473,337.08,10.17,0,0,9.13,Summer,122.1843
5/1/2017,W003,PPE464,Pet Supplies,West,877,485,387,452.71,39.26,0,0,39.21,Spring,126.2112
5/1/2017,W003,PHE683,Health & Beauty,West,595,391,305,487.74,6.29,20,0,6.5,Spring,128.5
5/1/2017,W003,PST964,Stationery & Office Supplies,North,525,386,295,481.04,8.95,10,0,8.49,Spring,122.01
5/1/2017,W003,PTO787,Toys & Games,West,532,390,259,371.59,46.42,10,0,48.67,Winter,125.8145
5/1/2017,W003,PSE902,Seasonal Products,West,898,532,517,466.91,20.91,10,1,18.37,Spring,123.5267
5/1/2017,W004,PHO265,Household Essentials,Central,1171,921,515,1078.6,48.8,0,1,44.67,Summer,124.6974
5/1/2017,W004,PHO570,Homeware,West,1060,745,572,849.29,42.38,10,1,38.3,Autumn,124.8571
5/1/2017,W004,PDI375,DIY & Decorating,West,566,442,235,366.66,44.05,0,0,42.3,Summer,125.5227
5/1/2017,W004,PGA357,Gardening,North,786,457,462,357.16,19.31,10,0,17.94,Summer,122.0405
5/1/2017,W004,PPE365,Pet Supplies,South,534,369,295,329.62,35.94,10,0,31.98,Spring,123.8265
5/1/2017,W004,PHE211,Health & Beauty,South,877,492,385,516.35,16.86,0,0,14.82,Autumn,128.7985
5/1/2017,W004,PST114,Stationery & Office Supplies,North,892,557,486,603.71,15.19,10,0,13.41,Winter,128.1111
5/1/2017,W004,PTO180,Toys & Games,South,685,484,398,402.1,41.7,0,1,37.09,Summer,120.7816
5/1/2017,W004,PSE192,Seasonal Products,West,652,402,294,338.46,28.18,0,0,27.37,Autumn,122.9098
5/1/2017,W005,PHO278,Household Essentials,East,1156,858,555,891.36,17.14,10,0,17.6,Autumn,124.3442
5/1/2017,W005,PHO289,Homeware,North,1005,670,514,751.17,45.61,10,0,42.3,Summer,121.8224
5/1/2017,W005,PDI590,DIY & Decorating,North,570,393,257,448.67,14.12,0,0,14.73,Winter,120.6796
5/1/2017,W005,PGA250,Gardening,South,566,351,251,321.52,44.75,0,1,39.28,Summer,124.79
5/1/2017,W005,PPE929,Pet Supplies,North,604,436,306,495.44,11.84,0,0,11.91,Winter,126.5264
5/1/2017,W005,PHE863,Health & Beauty,Central,450,295,207,229.73,25.13,0,1,22.93,Spring,124.9103
5/1/2017,W005,PST936,Stationery & Office Supplies,North,538,317,310,358.05,29.15,0,0,30.03,Summer,121.6346
5/1/2017,W005,PTO554,Toys & Games,East,461,245,188,222.96,22.92,10,1,19.92,Autumn,125.5506
5/1/2017,W005,PSE272,Seasonal Products,Central,494,365,242,305.31,13.46,0,0,13.86,Winter,125.6023
6/1/2017,W001,PHO734,Household Essentials,South,1293,870,691,863.52,15.21,10,0,15.61,Autumn,127.8248
6/1/2017,W001,PHO392,Homeware,South,983,655,493,660.93,40.83,20,0,39.51,Autumn,128.3921
6/1/2017,W001,PDI313,DIY & Decorating,East,831,446,424,344.06,23.5,0,0,24.56,Summer,121.1858
6/1/2017,W001,PGA546,Gardening,South,585,309,258,273.71,32.86,10,1,32.83,Winter,127.8688
6/1/2017,W001,PPE514,Pet Supplies,South,788,475,351,429.9,24.78,10,0,22.12,Autumn,125.495
6/1/2017,W001,PHE515,Health & Beauty,South,751,458,391,510.63,16.05,0,1,14.82,Winter,122.4597
6/1/2017,W001,PST985,Stationery & Office Supplies,Central,512,348,261,377.79,21.7,10,1,20.14,Spring,127.323
6/1/2017,W001,PTO793,Toys & Games,West,477,272,197,237.44,32.22,20,1,27.65,Autumn,124.6177
6/1/2017,W001,PSE510,Seasonal Products,North,805,616,401,766.4,9.65,10,0,9.76,Autumn,123.8553
6/1/2017,W002,PHO454,Household Essentials,Central,969,595,547,498.79,11.25,20,1,11.02,Winter,119.3832
6/1/2017,W002,PHO120,Homeware,East,922,634,495,493.07,8.28,0,0,7.34,Summer,120.1683
6/1/2017,W002,PDI435,DIY & Decorating,West,823,523,413,412.78,22.24,20,0,20.56,Spring,126.1946
6/1/2017,W002,PGA966,Gardening,West,582,451,269,342.1,45.46,0,0,47.04,Spring,126.2182
6/1/2017,W002,PPE518,Pet Supplies,East,421,319,174,280.82,48.79,0,0,43.73,Spring,120.5967
6/1/2017,W002,PHE878,Health & Beauty,South,813,574,402,542.66,7.85,0,1,7.45,Spring,123.9664
6/1/2017,W002,PST540,Stationery & Office Supplies,Central,588,387,309,321.95,7.4,10,0,7.57,Spring,128.4332
6/1/2017,W002,PTO936,Toys & Games,East,500,320,289,323.14,47.43,20,0,43.67,Spring,126.8224
6/1/2017,W002,PSE263,Seasonal Products,South,892,601,428,641.88,38,0,0,32.47,Autumn,124.6609
6/1/2017,W003,PHO741,Household Essentials,East,977,717,399,790.51,38.2,10,0,32.94,Winter,124.2645
6/1/2017,W003,PHO974,Homeware,North,1147,595,596,704.64,27.99,0,0,24.97,Spring,123.4384
6/1/2017,W003,PDI163,DIY & Decorating,North,883,525,488,478.61,15.76,0,1,15.44,Winter,120.9249
6/1/2017,W003,PGA851,Gardening,East,405,246,226,235.4,31.38,0,0,27.7,Summer,124.1013
